,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,HOV3,Corridor PCE,InScopeLights,InScopeHeavies,InScopeVeh,CaptureRateLights,CaptureRateHeavies,TollLights,TollHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
34,AM-Peak,2,Peak,AM,3,NB,3NB,3.7,65,7200,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340909091,3.246,0.715,8187.585,705.81,8893.395,491.2551,10305.015,6772.770312,621.1128,7826.1876,0.200584076,0.187915388,3.899999997,11.69999998,48.9606425,146.8819273,17.44654355,65.68645535,1358.509873,6337.820027,116.7166527,589.0933473,1475.226525,6926.913375,1708.659831,8105.100069,14.42999999,43.28999992,4.517118706,24655.96133,49311.92266,2717.019745,233.4333053,2950.453051,17786.79
35,AM-Shoulder,1,OP,AM,3,NB,3NB,3.7,65,8800,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.296920821,0.296920821,3.246,0.715,6864.4,1060.1,7924.5,411.864,10044.7,5678.23168,932.888,6973.56,0.157697732,0.153198696,1.949999891,5.849999095,54.009188,162.0275479,34.02479984,68.94683865,895.4442577,5557.091742,142.9172253,917.1827747,1038.361483,6474.274517,1324.195934,8308.640066,7.214999598,21.64499665,2.48678508,9554.072822,9554.072822,895.4442577,142.9172253,1038.361483,7924.5
36,MD,5,OP,MD,3,NB,3NB,3.7,65,8800,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.296920821,0.296920821,3.249,0.708,7031.7,693.1,7724.8,421.902,9111,5816.62224,609.928,6797.824,0.12202674,0.114606063,1.949999461,5.849985049,61.05653268,183.1691805,39.89518365,69.77209562,709.7834472,5900.014553,69.90144675,623.1985532,779.6848939,6523.213106,919.4877874,7769.610213,7.214998007,21.64494468,2.299646655,6634.099105,33170.49552,3548.917236,349.5072338,3898.42447,38624
37,PM-Shoulder,1,OP,PM,3,NB,3NB,3.7,65,9200,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.287642045,0.287642045,3.399,0.592,7786.5,498.2,8284.7,467.19,9281.1,6440.9928,438.416,7290.536,0.120367509,0.121528622,1.900331978,5.534624678,61.87557963,180.2096234,42.26757304,69.70017709,775.2862568,6544.023743,53.28009213,444.9199079,828.5663489,6988.943651,935.1265332,7878.783467,7.031228317,20.47811131,2.134031367,6542.29034,6542.29034,775.2862568,53.28009213,828.5663489,8284.7
38,PM-Peak,3,Peak,PM,3,NB,3NB,3.7,65,9200,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.287642045,0.287642045,3.399,0.592,7411.32,485.835,7897.155,444.6792,8868.825,6130.643904,427.5348,6949.4964,0.136767941,0.129687938,1.949998292,5.849971766,58.64976005,175.9485851,47.29314622,69.63122196,838.4755431,6128.165257,55.44610684,430.3888932,893.92165,6558.55415,1004.813864,7419.331936,7.214993679,21.64489553,2.191896836,7249.720934,21749.1628,2515.426629,166.3383205,2681.76495,23691.465
39,PM-Late,3,OP,NT,3,NB,3NB,3.7,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.317398119,3.402,0.708,3806.1,300.5,4106.6,228.366,4707.6,3148.40592,264.44,3613.808,0.145574957,0.145945107,0.933294684,2.776579867,63.99110507,190.3754699,63.83608974,69.98935575,458.3290563,3119.404944,38.5937242,261.9062758,496.9227805,3381.311219,574.1102289,3905.123771,3.45319033,10.27334551,1.076454231,1979.184128,5937.552385,1374.987169,115.7811726,1490.768342,12319.8
40,Night,8,OP,NT,3,SB,3SB,3.7,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.317398119,3.402,0.708,1967.7,333.5,2301.2,118.062,2968.2,1627.68144,293.48,2025.056,0.151516028,0.151585378,0.579092458,1.734406218,62.43532937,186.9964319,64.92823692,69.99940779,246.6198271,1603.018173,44.48727681,289.0127232,291.1071039,1892.030896,380.0816575,2470.056342,2.142642096,6.417303006,0.755648655,813.9063584,6511.250868,1972.958617,355.8982145,2328.856831,18409.6
41,AM-Early,1,OP,AM,3,SB,3SB,3.7,65,8800,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.296920821,0.296920821,3.246,0.715,5340.9,453.1,5794,320.454,6700.2,4417.99248,398.728,5098.72,0.123668828,0.124379607,1.106246612,3.267466788,59.76434056,176.5230247,59.22524092,69.95681476,546.3679536,4474.078046,49.59363207,403.5063679,595.9615857,4877.584414,695.1488498,5684.59715,4.093112463,12.08962712,1.286095046,2835.913999,2835.913999,546.3679536,49.59363207,595.9615857,5794
42,AM-Peak,2,Peak,AM,3,SB,3SB,3.7,65,9600,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.27892562,0.27892562,3.246,0.715,6443.22,554.085,6997.305,386.5932,8105.475,5329.831584,487.5948,6157.6284,0.107204402,0.109273853,1.949992254,5.618905938,65.06912103,187.4967809,54.19303781,69.92401976,571.381409,5485.245391,53.28136241,500.8036376,624.6627714,5986.049029,731.2254962,6987.656304,7.214971341,20.78995197,2.26293666,5230.217456,10460.43491,1142.762818,106.5627248,1249.325543,13994.61
43,AM-Shoulder,1,OP,AM,3,SB,3SB,3.7,65,9600,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.27892562,0.27892562,3.246,0.715,5405.5,834.6,6240.1,324.33,7909.3,4471.4296,734.448,5491.288,0.115804136,0.116479635,1.291130357,3.818396255,61.71328719,182.5112262,55.8466877,69.93245925,517.810041,4563.359959,85.54823524,749.0517648,603.3582762,5312.411724,774.4547467,6810.515253,4.777182321,14.12806614,1.649463285,3682.304099,3682.304099,517.810041,85.54823524,603.3582762,6240.1
