Seg/Dir,Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3SB,Medium A,28.0,20.0,20.0,42.0,52.84343914223821,97.2,144.0,309.4,340.2,390.59999999999997,253.39999999999998,177.0,174.0,153.0,135.0,70.0,89.6,98.0,118.99999999999999,62.99999999999999,31.5,28.8,24.3,27.0
3SB,Medium B,6.0,2.0,11.0,6.0,18.22187556628904,45.9,70.2,118.99999999999999,75.6,99.39999999999999,81.19999999999999,73.0,74.0,53.0,41.0,22.0,21.0,33.599999999999994,22.4,19.599999999999998,4.5,2.7,4.5,2.7
3SB,Heavy A,179.0,156.0,183.0,177.0,216.84031923883956,225.9,193.5,315.0,422.79999999999995,480.2,590.8,405.0,385.0,369.0,306.0,262.0,292.59999999999997,322.0,351.4,415.79999999999995,228.6,188.1,179.1,167.4
3SB,Heavy B,30.0,29.0,20.0,19.0,21.866250679546845,22.5,10.8,18.2,5.6,19.599999999999998,14.0,11.0,13.0,11.0,8.0,2.0,7.0,5.6,22.4,29.4,18.0,18.900000000000002,23.400000000000002,19.8
3NB,Lights,521.0,358.0,350.5,534.5,1095.302007424803,2728.8,3152.0,4055.1,3523.7999999999997,3751.2999999999997,4175.5,3059.0,3063.0,3177.5,3405.0,3328.5,3942.3999999999996,4536.7,4363.799999999999,3709.9999999999995,1984.95,1808.55,1517.4,949.5
3NB,Medium A,13.0,16.5,18.5,26.5,37.03681269470704,51.300000000000004,79.0,140.0,170.1,207.2,178.5,108.0,128.0,117.0,114.5,85.0,103.6,100.1,112.0,52.5,33.300000000000004,20.25,22.95,20.0
3NB,Medium B,4.5,5.0,1.5,0.5,7.901186708204168,16.650000000000002,31.0,28.7,29.4,39.199999999999996,44.8,31.0,35.0,24.0,24.5,27.5,25.9,26.599999999999998,20.299999999999997,11.2,2.7,6.3,0.9,5.5
3NB,Heavy A,157.5,160.5,145.0,193.5,201.4802610592063,171.9,161.0,218.39999999999998,312.2,494.9,466.9,304.5,315.0,306.5,237.5,222.5,297.5,270.2,278.59999999999997,265.3,180.0,185.85,166.95000000000002,174.5
3NB,Heavy B,27.5,28.0,36.5,31.0,23.209735955349743,14.85,9.0,4.8999999999999995,11.899999999999999,6.3,19.599999999999998,7.0,17.5,6.5,7.5,2.5,7.699999999999999,5.6,7.0,13.299999999999999,14.85,20.25,33.75,20.0
4SB,Lights,1104.0,829.0,694.0,582.0,879.0,2122.0,3305.0,3754.131670536985,3773.4113953363494,3472.7723203754663,3758.7262181817114,4066.0,4019.4,4196.7,4467.6,3577.0,4660.599999999999,4664.799999999999,5370.4,6293.0,3843.0,3437.0,2852.0,2080.0
