Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S7,SB,Heavy B,530,36,21,15,32,18,26,25,28,22,34,16,18,23,17,12,13,14,14,23,27,13,24,28,37
S7,NB,Lights,78223,568,477,475,842,1681,5207,4962,3897,4142,4521,4314,4035,4180,4307,4598,5010,5050,5216,4288,3000,2567,2330,1610,952
S7,NB,Medium A,2842,25,36,23,42,54,86,147,151,235,252,231,205,226,196,216,164,161,134,98,47,40,34,18,28
S7,NB,Medium B,842,4,4,5,5,13,35,51,45,59,70,97,70,73,71,56,53,44,34,19,11,6,8,7,7
S7,NB,Heavy A,7027,173,171,165,246,263,275,243,258,372,454,464,423,429,421,331,331,316,278,256,252,240,256,205,211
S7,NB,Heavy B,593,47,44,52,43,32,21,10,14,20,21,28,15,25,17,13,6,11,9,12,21,21,44,33,38
S8,SB,Lights,73251,687,480,471,665,1306,3646,4335,3560,3489,3526,3476,3486,3707,4120,4624,4932,5212,5197,4524,3590,2897,2399,1711,1218
S8,SB,Medium A,2499,23,34,23,29,34,57,140,162,195,200,191,180,181,176,169,148,147,139,113,58,35,28,22,21
S8,SB,Medium B,768,3,1,1,3,1,36,50,53,57,62,78,68,73,67,55,51,36,36,23,13,6,1,0,0
S8,SB,Heavy A,6929,255,172,176,204,224,258,260,259,349,418,442,416,404,408,325,325,278,298,300,270,260,237,201,197
S8,SB,Heavy B,436,41,23,28,26,23,21,14,14,18,22,15,14,19,14,10,8,13,11,13,17,13,21,21,21
S8,NB,Lights,72090,542,419,472,853,1717,5157,4800,3490,3610,4042,3841,3575,3738,3900,3984,4442,4766,4843,3885,2788,2503,2239,1535,954
S8,NB,Medium A,2508,30,35,20,23,43,65,140,132,198,217,209,179,203,177,173,156,157,129,88,49,28,27,17,18
S8,NB,Medium B,781,3,1,3,3,1,33,53,44,50,60,95,58,74,71,57,54,42,35,24,10,6,6,2,1
S8,NB,Heavy A,6870,258,189,171,244,220,257,256,250,320,394,420,390,406,412,310,353,311,307,260,250,238,257,199,205
S8,NB,Heavy B,468,52,24,29,26,23,19,10,13,12,18,20,16,20,17,11,9,16,14,11,12,13,31,28,30
S9,SB,Lights,64583,620,461,402,434,619,1565,3098,3403,2837,2638,2928,3029,3318,3697,4538,5278,5672,5328,4185,3343,2535,1881,1639,1140
S9,SB,Medium A,2186,10,17,13,25,53,66,127,194,207,221,149,135,121,147,132,123,119,106,89,44,28,24,20,22
