Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S5,WB,Medium B,997.0,10.0,11.0,6.0,7.0,31.0,44.0,63.0,42.0,81.0,70.0,109.0,83.0,88.0,81.0,71.0,56.0,36.0,37.0,24.0,18.0,2.0,12.0,5.0,10.0
S5,WB,Heavy A,7032.0,180.0,185.0,174.0,241.0,274.0,251.0,226.0,242.0,390.0,450.0,483.0,430.0,425.0,439.0,349.0,318.0,298.0,277.0,247.0,248.0,238.0,245.0,201.0,221.0
S5,WB,Heavy B,609.0,41.0,47.0,48.0,44.0,34.0,22.0,16.0,7.0,23.0,20.0,29.0,17.0,27.0,15.0,15.0,6.0,12.0,9.0,11.0,19.0,27.0,43.0,44.0,33.0
S6,EB,Lights,84797.5,1112.0,806.0,644.5,587.5,892.0,2226.0,3570.5,4066.5,3617.0,3296.5,3780.0,3998.5,4665.5,5140.0,5899.0,5865.5,5550.0,5748.0,5695.0,5043.5,4124.0,3570.0,2859.5,2040.5
S6,EB,Medium A,2973.5,18.0,25.0,19.0,32.5,46.5,86.0,189.5,247.0,256.0,262.5,232.0,222.0,212.5,222.0,170.5,148.0,146.5,128.5,122.0,86.0,32.0,22.0,31.0,16.5
S6,EB,Medium B,833.0,4.5,2.5,6.0,6.0,7.5,52.5,58.5,69.5,61.5,73.0,63.5,72.0,68.5,73.5,52.0,40.0,29.0,29.0,21.5,14.0,6.5,7.0,3.0,12.0
S6,EB,Heavy A,7323.5,178.5,173.5,174.0,185.0,257.0,277.0,257.5,289.0,400.5,457.5,501.0,485.5,456.5,424.0,367.5,298.5,269.5,300.5,339.0,315.0,272.5,228.0,221.5,195.0
S6,EB,Heavy B,549.5,36.0,37.0,28.0,29.0,33.5,23.0,22.5,27.0,23.5,34.5,16.0,19.5,21.0,17.5,11.0,12.5,13.0,13.5,20.0,26.0,16.5,14.5,18.0,36.5
S6,WB,Lights,86144.5,622.0,464.5,475.5,845.5,1832.0,5682.0,6334.0,5200.5,5108.5,4991.0,4863.0,4470.0,4606.0,4817.5,5044.5,5193.5,5056.0,5302.5,4396.0,3116.0,2621.0,2339.0,1708.5,1055.5
S6,WB,Medium A,2955.0,31.5,26.0,24.0,23.5,44.0,81.0,148.5,183.5,248.5,233.5,242.0,234.5,257.5,204.0,216.5,163.5,173.0,153.0,101.5,61.5,32.0,31.5,19.0,21.5
S6,WB,Medium B,820.0,5.5,5.0,3.5,7.5,10.0,32.0,50.5,39.5,63.5,70.5,98.0,63.5,76.0,64.0,56.0,46.5,38.5,31.5,22.0,12.0,5.5,13.0,1.5,4.5
S6,WB,Heavy A,7035.5,202.0,181.5,160.5,249.0,278.0,260.5,219.5,237.5,392.5,433.5,474.5,421.0,428.5,428.0,339.5,324.0,309.5,280.0,257.0,242.0,238.0,236.0,222.0,221.0
S6,WB,Heavy B,515.0,19.0,40.5,53.0,41.5,15.0,21.0,11.5,8.5,22.0,19.0,25.5,15.0,26.0,14.5,12.5,7.5,11.5,9.0,11.0,19.0,25.5,37.0,17.5,32.5
S7,EB,Lights,82186.5,934.0,691.5,539.0,561.0,907.0,2438.5,4078.5,4076.5,3432.0,3204.0,3544.5,3777.0,4425.5,4934.0,5734.0,5874.5,5944.5,5965.0,5466.5,4798.0,3670.0,3058.0,2396.5,1736.5
S7,EB,Medium A,2639.5,22.5,24.5,18.5,26.5,34.5,76.0,159.5,218.5,224.0,202.0,180.0,207.0,194.5,184.0,175.0,143.5,135.5,116.5,113.5,64.0,40.0,34.0,27.5,18.0
S7,EB,Medium B,839.5,1.0,2.0,5.5,6.0,7.0,53.5,58.0,61.0,63.0,73.5,60.5,79.0,68.0,76.0,59.0,48.5,29.5,32.0,24.5,16.0,4.0,7.0,2.0,3.0
S7,EB,Heavy A,7372.0,181.0,204.0,189.0,191.0,272.0,276.5,259.0,274.5,412.0,469.5,475.0,475.0,450.0,423.0,363.5,303.5,271.5,305.5,351.5,308.0,286.0,223.5,212.0,195.5
S7,EB,Heavy B,529.5,36.0,21.0,15.0,31.5,17.5,26.0,25.0,27.5,21.5,33.5,16.0,17.5,22.5,17.0,11.5,13.0,14.0,13.5,22.5,27.0,12.5,24.0,27.5,36.5
S7,WB,Lights,78223.0,567.5,477.0,474.5,842.0,1680.5,5207.0,4962.0,3897.0,4141.5,4520.5,4313.5,4034.5,4180.0,4306.5,4597.5,5009.5,5050.0,5216.0,4288.0,3000.0,2566.5,2330.0,1610.0,951.5
S7,WB,Medium A,2841.5,25.0,36.0,22.5,41.5,54.0,85.5,146.5,151.0,235.0,251.5,230.5,204.5,226.0,195.5,216.0,163.5,161.0,133.5,97.5,46.5,39.5,33.5,17.5,28.0
S7,WB,Medium B,842.0,4.0,3.5,5.0,5.0,12.5,35.0,51.0,44.5,58.5,69.5,96.5,70.0,73.0,71.0,56.0,52.5,44.0,34.0,19.0,11.0,5.5,7.5,7.0,6.5
S7,WB,Heavy A,7027.0,173.0,170.5,164.5,246.0,262.5,275.0,243.0,257.5,372.0,454.0,463.5,422.5,428.5,421.0,331.0,331.0,315.5,278.0,256.0,251.5,239.5,256.0,204.5,210.5
S7,WB,Heavy B,592.5,46.5,43.5,52.0,42.5,32.0,20.5,10.0,13.5,20.0,21.0,28.0,15.0,25.0,17.0,12.5,6.0,11.0,9.0,11.5,21.0,21.0,43.5,32.5,38.0
S8,EB,Lights,73251.0,687.0,480.0,470.5,664.5,1305.5,3645.5,4335.0,3559.5,3488.5,3526.0,3475.5,3485.5,3706.5,4119.5,4623.5,4932.0,5212.0,5196.5,4523.5,3590.0,2896.5,2399.0,1711.0,1218.0
S8,EB,Medium A,2499.0,23.0,34.0,23.0,28.5,34.0,56.5,140.0,161.5,195.0,199.5,191.0,179.5,180.5,175.5,169.0,147.5,147.0,139.0,112.5,57.5,35.0,28.0,21.5,20.5
S8,EB,Medium B,767.5,3.0,1.0,0.5,2.5,0.5,35.5,49.5,53.0,56.5,62.0,78.0,67.5,73.0,66.5,54.5,51.0,35.5,36.0,22.5,13.0,5.5,0.5,0.0,0.0
S8,EB,Heavy A,6928.5,254.5,171.5,175.5,204.0,224.0,257.5,259.5,259.0,348.5,418.0,442.0,415.5,403.5,407.5,324.5,324.5,277.5,297.5,300.0,270.0,260.0,237.0,200.5,196.5
