Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S7,SB,Heavy A,7223.711096,181,204,189,191,272,276.5,237.663653,251.6293617,410.0225934,471.8014209,451.6941524,427.5,405,380.7,327.15,273.15,253.4437374,332.6626479,401.4336124,369.359917,286,223.5,212,195.5
S7,SB,Heavy B,525.1197691,36,21,15,31.5,17.5,26,22.94050705,25.2087703,21.39681009,33.66421214,15.21496092,15.75,20.25,15.3,10.35,11.7,13.068922,14.70031341,25.69631943,32.37895376,12.5,24,27.5,36.5
S7,NB,Lights,81575.2318,567.5,477,474.5,842,1680.5,4888.940879,4483.785079,5455.8,5798.1,6135.541262,4946.749112,3984.738731,3762,3875.85,4137.75,4508.55,4335.980143,4658.675215,4903.271385,4200,2566.5,2330,1610,951.5
S7,NB,Medium A,3013.190311,25,36,22.5,41.5,54,80.27740448,132.3809984,211.4,329,341.3535289,264.3388594,201.9777099,203.4,175.95,194.4,147.15,138.2361986,119.2356482,111.4899627,65.1,39.5,33.5,17.5,28
S7,NB,Medium B,886.3029001,4,3.5,5,5,12.5,32.8620954,46.08485268,62.3,81.9,94.33029923,110.666811,69.13662441,65.7,63.9,50.4,47.25,37.77883689,30.36713138,21.72624914,15.4,5.5,7.5,7,6.5
S7,NB,Heavy A,7375.487406,173,170.5,164.5,246,262.5,258.2021782,219.5807687,360.5,520.8,616.2008036,531.5447347,417.2889116,385.65,378.9,297.9,297.9,270.8914327,248.2959566,292.73262,352.1,239.5,256,204.5,210.5
S7,NB,Heavy B,616.5954586,46.5,43.5,52,42.5,32,19.24779874,9.036245624,18.9,28,28.50268034,32.11057729,14.81499094,22.5,15.3,11.25,5.4,9.444709222,8.038358307,13.15009816,29.4,21,43.5,32.5,38
S8,SB,Lights,72868.53665,687,480,470.5,664.5,1305.5,3588.921643,3901.5,3552.2691,3619.171026,3292.498935,3196.726643,3286.435965,3335.85,3707.55,4161.15,4438.8,5344.342774,5190.359185,5394.961375,5026,2896.5,2399,1711,1218
S8,SB,Medium A,2433.307656,23,34,23,28.5,34,55.62311694,126,161.1719229,202.3042425,186.2885812,175.6796975,169.2483878,162.45,157.95,152.1,132.75,150.7326147,138.8357407,134.1733513,80.5,35,28,21.5,20.5
S8,SB,Medium B,735.6839454,3,1,0.5,2.5,0.5,34.94903808,44.55,52.89233384,58.61635745,57.89419568,71.7435414,63.64493692,65.7,59.85,49.05,45.9,36.40141376,35.95745803,26.83467026,18.2,5.5,0.5,0,0
